"filename", "language", "JSON with Comments", "JSON", "TypeScript JSX", "PostCSS", "TypeScript", "Dotenv", "comment", "blank", "total"
"c:\Users\reymark\Documents\react\vite\capstone1\.env", "Dotenv", 0, 0, 0, 0, 0, -5, 0, -1, -6
"c:\Users\reymark\Documents\react\vite\capstone1\package-lock.json", "JSON", 0, 67, 0, 0, 0, 0, 0, 0, 67
"c:\Users\reymark\Documents\react\vite\capstone1\package.json", "JSON", 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\reymark\Documents\react\vite\capstone1\src\App.css", "PostCSS", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\reymark\Documents\react\vite\capstone1\src\App.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\DailyCoding.tsx", "TypeScript JSX", 0, 0, -8, 0, 0, 0, 0, 1, -7
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\Loading-Modal.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 6, 22
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\Loading.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\Navbar.tsx", "TypeScript JSX", 0, 0, 70, 0, 0, 0, 2, 8, 80
"c:\Users\reymark\Documents\react\vite\capstone1\src\hook\useBreakpoint.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 1, 3, 20
"c:\Users\reymark\Documents\react\vite\capstone1\src\hook\useCustomHook.tsx", "TypeScript JSX", 0, 0, 73, 0, 0, 0, 1, 16, 90
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\AboutUs.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\ContactUs.tsx", "TypeScript JSX", 0, 0, 40, 0, 0, 0, 2, 11, 53
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\LandingPage.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 0, 2, 4
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\PayViolation.tsx", "TypeScript JSX", 0, 0, 208, 0, 0, 0, 6, 30, 244
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\PaymentSucces.tsx", "TypeScript JSX", 0, 0, 105, 0, 0, 0, 5, 22, 132
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\ProcessViolation.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\ProfilePage.tsx", "TypeScript JSX", 0, 0, 54, 0, 0, 0, 8, -3, 59
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Desktop-AboutUs.tsx", "TypeScript JSX", 0, 0, -5, 0, 0, 0, 0, -3, -8
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Desktop.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Mobile-AboutUs.tsx", "TypeScript JSX", 0, 0, 166, 0, 0, 0, 0, 6, 172
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Mobile.tsx", "TypeScript JSX", 0, 0, 143, 0, 0, 0, 4, 4, 151
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Tablet.tsx", "TypeScript JSX", 0, 0, 192, 0, 0, 0, 10, 12, 214
"c:\Users\reymark\Documents\react\vite\capstone1\src\services\SupabaseUserSubmit.ts", "TypeScript", 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\reymark\Documents\react\vite\capstone1\tsconfig.app.json", "JSON", 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\reymark\Documents\react\vite\capstone1\tsconfig.json", "JSON with Comments", -1, 0, 0, 0, 0, 0, 0, 0, -1
"Total", "-", -1, 68, 1105, 6, -1, -5, 39, 115, 1326
